title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
탑건:매버릭,81888,9.76,액션,조셉코신스키,톰크루즈,피터크레이그각본,37,30
클라우스,191613,9.67,애니메이션,서지오파블로스,제이슨슈왈츠먼,None,0,0
인생은뷰티풀:비타돌체,213364,9.66,공연실황,김선형,김호중,None,58,50
할머니의먼집,144584,9.62,다큐멘터리,이소현,박삼순,안보영프로듀서,68,20
밥정,186114,9.61,다큐멘터리,박혜령,임지호,엄정화프로듀서,35,20
그린북,171539,9.6,드라마,피터패럴리,비고모텐슨,브라이언커리각본,30,20
가버나움,174830,9.59,드라마,나딘라바키,자인알라피아,지하드호제일리각본,37,20
베일리어게인,144906,9.54,모험,라세할스트롬,조시게드,캐스린미숑각본,48,20
원더,151196,9.53,드라마,스티븐크보스키,제이콥트렘블레이,스티븐크보스키각색,35,20
아일라,169240,9.52,드라마,잔울카이,김설,유은정,47,20
디지몬어드벤처라스트에볼루션:인연,192613,9.51,애니메이션,타구치토모히사,하나에나츠키,혼고아키요시원작자,0,0
극장판바이올렛에버가든,196843,9.5,애니메이션,이시다테타이치,이시카와유이,요시다레이코각본,56,20
당갈,157243,9.49,드라마,니테쉬티와리,아미르칸,피유시굽타각본,61,20
아바타리마스터링,221031,9.49,SF,제임스카메론,샘워싱턴,제임스카메론각본,36,30
먼훗날우리,175092,9.48,드라마,유약영,정백연,원원각본,0,0
포드V페라리,181710,9.47,액션,제임스맨골드,맷데이먼,제즈버터워스각본,38,20
주전장,179518,9.46,다큐멘터리,미키데자키,전체관람가,미키데자키각본,34,30
쇼생크탈출,17421,9.46,드라마,프랭크다라본트,팀로빈스,프랭크다라본트각본,82,20
터미네이터2:오리지널,10200,9.45,SF,제임스카메론,아놀드슈왈제네거,제임스카메론각본,31,20
덕구,154667,9.45,드라마,방수인,이순재,방수인각본,47,20
클래식,35939,9.44,멜로/로맨스,곽재용,손예진,곽재용각본,57,20
나홀로집에,10016,9.44,모험,크리스콜럼버스,맥컬리컬킨,존휴즈각본,0,0
라이언일병구하기,18988,9.43,전쟁,스티븐스필버그,톰행크스,로버트로댓각본,0,0
장민호드라마최종회,213746,9.43,공연실황,장민호,전체관람가,None,50,40
"그대,고맙소:김호중생애첫팬미팅무비",196828,9.43,공연실황,오윤동,김호중,오윤동프로듀서,0,0
월-E,69105,9.42,애니메이션,앤드류스탠튼,벤버트,앤드류스탠튼각본,0,0
빽투더퓨쳐,10002,9.42,SF,로버트저메키스,마이클J.폭스,로버트저메키스각본,61,20
사운드오브뮤직,10102,9.42,멜로/로맨스,로버트와이즈,줄리앤드류스,어니스트리먼각본,80,20
포레스트검프,17159,9.42,드라마,로버트저메키스,톰행크스,에릭로스각본,56,20
보헤미안랩소디,156464,9.42,드라마,브라이언싱어,라미말렉,안토니맥카튼각본,40,20
글래디에이터,29217,9.41,액션,리들리스콧,러셀크로우,데이비드프란조니각본,0,0
타이타닉,18847,9.41,멜로/로맨스,제임스카메론,레오나르도디카프리오,제임스카메론각본,59,20
위대한쇼맨,106360,9.41,드라마,마이클그레이시,휴잭맨,제니빅스각본,59,20
명탐정코난:할로윈의신부,217719,9.41,애니메이션,미츠나카스스무,12세관람가,아오야마고쇼원작자,50,20
인생은아름다워,22126,9.41,드라마,로베르토베니니,로베르토베니니,빈센조세라미각본,54,20
살인의추억,35901,9.4,범죄,봉준호,송강호,봉준호각본,47,20
매트릭스,24452,9.4,SF,릴리워쇼스키,키아누리브스,릴리워쇼스키각본,41,30
헬프,82432,9.4,드라마,테이트테일러,엠마스톤,테이트테일러각본,0,0
캐스트어웨이,31162,9.4,드라마,로버트저메키스,톰행크스,윌리암브로일리스주니어각본,0,0
센과치히로의행방불명,32686,9.4,애니메이션,미야자키하야오,히이라기루미,미야자키하야오각본,60,20
태극권,11678,9.4,액션,원화평,이연걸,엽광검각본,0,0
토이스토리3,66463,9.39,애니메이션,리언크리치,톰행크스,마이클안트각본,0,0
가나의혼인잔치:언약,197647,9.39,다큐멘터리,브렌트밀러주니어,션알다란,브렌트밀러주니어각본,33,30
쉰들러리스트,14450,9.39,드라마,스티븐스필버그,리암니슨,스티븐자일리안각본,45,20
헌터킬러,92125,9.39,액션,도노반마시,제라드버틀러,제이미모스각본,32,20
반지의제왕:왕의귀환,31796,9.38,판타지,피터잭슨,일라이저우드,프랜월시각본,53,20
죽은시인의사회,10048,9.38,드라마,피터위어,로빈윌리엄스,톰슐만각본,65,20
히든피겨스,147092,9.38,드라마,데오도르멜피,타라지P.헨슨,엘리슨슈로더각색,49,20
어벤져스:엔드게임,136900,9.38,액션,안소니루소,로버트다우니주니어,크리스토퍼마커스각본,46,20
집으로...,34324,9.38,드라마,이정향,김을분,이정향각본,71,30
레옹,17170,9.38,범죄,뤽베송,장르노,뤽베송각본,73,20
클레멘타인,37886,9.38,액션,김두영,이동준,은혜림각본,0,0
여인의향기,12482,9.38,드라마,마틴브레스트,알파치노,보골드먼각본,0,0
알라딘,163788,9.38,모험,가이리치,메나마수드,존오거스트각본,37,20
아이캔스피크,161850,9.37,드라마,김현석,나문희,유승희각본,52,20
씽2게더,187320,9.37,애니메이션,가스제닝스,매튜맥커너히,가스제닝스각본,41,20
동주,134899,9.37,드라마,이준익,강하늘,신연식각본,55,20
잭스나이더의저스티스리그,203288,9.37,액션,잭스나이더,벤애플렉,크리스테리오각본,0,0
해리포터와마법사의돌,30688,9.37,판타지,크리스콜럼버스,다니엘래드클리프,스티브클로브스각본,54,20
서유기2-선리기연,18543,9.37,코미디,유진위,주성치,None,0,0
안녕베일리,181700,9.37,가족,게일맨쿠소,조시게드,마야포브스각본,35,20
다시태어나도우리,154573,9.36,다큐멘터리,문창용,파드마앙뚜,전진프로듀서,35,20
올빼미,222301,9.36,스릴러,안태진,류준열,현규리각본,38,30
굿바이마이프랜드,17541,9.36,드라마,피터호튼,조셉마젤로,로버트쿤각본,0,0
미스슬로운,142632,9.36,드라마,존매든,제시카차스테인,조나단페레라각본,62,20
주토피아,130850,9.36,애니메이션,바이론하워드,지니퍼굿윈,자레드부시각본,47,20
굿윌헌팅,19079,9.35,드라마,구스반산트,맷데이먼,벤애플렉각본,42,20
트루먼쇼,19099,9.35,코미디,피터위어,짐캐리,앤드류니콜각본,62,20
나홀로집에2-뉴욕을헤매다,12270,9.35,모험,크리스콜럼버스,맥컬리컬킨,존휴즈각본,0,0
세얼간이,73372,9.35,코미디,라지쿠마르히라니,아미르칸,비두비노드쇼프라각본,0,0
미세스다웃파이어,16210,9.35,코미디,크리스콜럼버스,로빈윌리엄스,랜디메이엄싱어각본,0,0
반지의제왕:두개의탑,31795,9.35,판타지,피터잭슨,일라이저우드,프랜월시각본,43,20
자산어보,189075,9.35,드라마,이준익,설경구,김세겸각본,30,30
"지금,만나러갑니다",39636,9.35,멜로/로맨스,도이노부히로,다케우치유코,오카다요시카즈각본,54,20
에이리언2,10038,9.35,SF,제임스카메론,시고니위버,제임스카메론각본,0,0
모노노케히메,19303,9.35,애니메이션,미야자키하야오,마츠다요지,미야자키하야오각본,50,10
